wine_id,region_id,price,score
5953,51,60,87
15708,346,12,87
56184,414,12,87
64346,51,13,87
110113,408,30,87
52321,408,35,87
57228,253,12,87
60547,51,18,87
64595,51,30,87
69515,51,17,87
35248,296,20,87
41174,51,15,87
48899,51,19,87
14556,408,28,87
14559,408,28,87
8437,51,65,91
8947,51,48,91
11849,74,70,91
11850,74,59,91
28001,51,90,91
30032,51,75,91
30709,51,55,91
30710,51,55,91
80880,51,36,91
82617,51,35,91
82619,51,35,91
94902,408,35,91
98421,51,49,91
54329,74,42,91
55114,51,45,91
61075,51,38,91
68184,230,22,91
73692,408,50,91
75505,51,110,91
25924,51,42,93
42854,51,60,93
42857,51,42,93
69822,51,75,93
74113,51,54,93
61597,51,85,93
64335,51,50,93
101371,51,150,93
52508,51,85,93
12187,284,90,93
5021,51,35,93
15917,51,46,93
23965,296,20,93
26455,214,42,93
67334,296,40,93
76640,408,75,93
88006,51,40,93
97991,51,25,93
62096,51,48,93
62097,51,45,93
63057,51,50,93
38342,51,65,93
42856,51,48,93
43480,51,62,93
101369,51,100,93
109289,51,53,93
8065,214,55,93
106312,51,70,93
2093,408,38,89
4446,408,50,89
8626,51,25,89
12427,284,15,89
21106,37,14,89
24862,37,14,89
24702,37,37,89
20002,253,17,89
22741,37,15,89
29529,51,13,89
82751,408,18,89
89043,408,26,89
90409,408,18,89
91535,51,32,89
94405,408,25,89
94868,345,18,89
100846,51,18,89
105639,51,17,89
57494,408,41,89
58276,408,30,89
64488,90,13,89
69804,51,36,89
69517,51,20,87
69697,284,19,87
76061,51,69,87
77322,253,36,87
80811,214,30,87
82319,108,15,87
85981,51,17,87
87381,51,54,87
90553,51,40,87
94986,381,19,87
99451,214,11,87
5852,51,45,87
6078,381,25,87
6834,51,35,87
11390,284,16,87
11566,381,20,87
25909,51,28,87
26882,153,25,87
26883,153,28,87
27248,153,20,87
28542,381,15,87
35715,381,23,87
17244,284,19,87
106586,51,75,92
108191,11,54,92
54242,11,34,92
109745,383,60,92
4758,51,48,92
8883,11,45,92
35633,11,36,92
35638,11,30,92
43764,51,37,92
61603,51,25,92
68728,51,60,92
73371,51,40,92
82211,108,80,92
83855,230,34,92
94620,51,75,92
57853,11,39,92
89736,51,35,92
91816,11,43,92
93357,51,30,92
105412,51,40,90
102276,408,45,90
109506,51,80,90
70813,51,15,90
75858,284,65,90
76161,51,65,90
77286,284,35,90
79577,284,25,90
79628,408,20,90
83109,253,26,90
90487,408,30,90
92191,408,13,90
93746,51,45,90
98702,253,26,90
98853,51,44,90
101112,51,38,90
615,51,28,90
4855,408,32,90
6602,371,50,90
6603,371,35,90
7158,408,35,90
13347,408,42,90
17867,284,45,90
17896,371,70,90
20199,408,30,90
26718,51,75,90
27509,284,53,90
28302,51,29,90
71646,408,90,91
72376,51,35,91
73488,47,35,91
73806,51,50,91
79674,371,35,91
80443,51,65,91
84389,346,50,91
86760,371,43,91
109186,408,20,91
38416,214,30,91
24104,296,65,91
23337,296,17,91
23963,296,20,91
34852,296,20,91
35250,296,20,91
33984,296,25,91
37046,51,38,91
